customer_id,application_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_term,interest_rate,existing_loans,credit_score,repayment_history,transacted_amount,join_date,default_flag,loan_purpose,total_debt,total_transactions,total_spending,join_year,join_month,join_day,join_weekday,education_level_encoded,gender_encoded,region_East,region_North,region_South,region_West,loan_purpose_Education,loan_purpose_Home,loan_purpose_Personal,loan_purpose_Unknown,annual_income_binned,annual_income_high,annual_income_quantile_binned,annual_income_kmeans_binned,annual_income_scaled,annual_income_log,annual_income_yeo_johnson,annual_income_box_cox,annual_income_log_col,annual_income_yeo_johnson_col,annual_income_box_cox_col,debt_to_income_ratio,avg_monthly_transaction,spending_to_income_ratio
CUST00001,APP000001,56.0,Male,Central,High School,Student,108490.0,696294.63,36.0,9.43,4.0,313.0,Average,4414251.13,2020-04-01,0.0,Education,896294.63,882.0,4414251.13,2020,4,1,2,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.848045942295428,11.594422499213412,-0.9025068223814112,-0.9025063127348193,11.594422499213412,-0.9025068223814112,-0.9025063127348193,8.261465282834521,73.5,40.687717230000644
CUST00002,APP000002,69.0,Male,North,Bachelors,Self-employed,259670.0,931994.67,24.0,13.37,1.0,673.0,Average,493924.02,2019-04-13,0.0,Home,981994.67,98.0,493924.02,2019,4,13,5,2.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,2.0,0.6952557037647805,12.467170724107149,0.8539040126678542,0.8539036145948344,12.467170724107149,0.8539040126678542,0.8539036145948344,3.7816878665696207,8.166666666666666,1.902114675878323
CUST00003,APP000003,46.0,Male,Central,Bachelors,Salaried,275080.0,507366.2,12.0,20.56,5.0,856.0,Good,287977.11,2022-01-31,0.0,Home,757366.2,57.0,287977.11,2022,1,31,0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,2.0,0.8525667129312563,12.524820878733257,0.9727573093168207,0.9727569110364955,12.524820878733257,0.9727573093168207,0.9727569110364955,2.7532479524212867,4.75,1.0468811368287885
CUST00004,APP000004,32.0,Male,North,Diploma,Self-employed,81610.0,245645.9,60.0,13.25,5.0,727.0,Good,654826.76,2021-09-30,0.0,Personal,495645.9,130.0,654826.76,2021,9,30,3,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1224469758058022,11.309719335788534,-1.4584370589010542,-1.458436705282965,11.309719335788534,-1.4584370589010542,-1.458436705282965,6.073273210719144,10.833333333333334,8.023756111308524
CUST00005,APP000005,60.0,Female,South,Diploma,Self-employed,48410.0,63672.55,12.0,8.48,4.0,532.0,Average,298127.99,2021-07-03,0.0,Personal,263672.55,59.0,298127.99,2021,7,3,5,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4613649189808182,10.787482339609461,-2.457031111931408,-2.4570337443421595,10.787482339609461,-2.457031111931408,-2.4570337443421595,5.44654210819855,4.916666666666667,6.158269608146909
CUST00006,APP000006,25.0,Female,West,Diploma,Salaried,276980.0,427329.34,12.0,16.47,1.0,862.0,Average,4226611.06,2020-07-25,0.0,Home,477329.34,845.0,4226611.06,2020,7,25,5,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,2.0,0.8719626193177783,12.531704190759172,0.9869719894243992,0.986971592269032,12.531704190759172,0.9869719894243992,0.986971592269032,1.7233288203884023,70.41666666666667,15.259570367642544
CUST00007,APP000007,38.0,Female,North,Diploma,Salaried,88040.0,315878.37,84.0,21.37,5.0,739.0,Average,304660.22,2020-02-24,1.0,Personal,565878.37,60.0,304660.22,2020,2,24,0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0568071452450989,11.385557894049311,-1.3111533109463407,-1.3111528495706672,11.385557894049311,-1.3111533109463407,-1.3111528495706672,6.4274414193387175,5.0,3.46043570609148
CUST00008,APP000008,56.0,Male,Central,PhD,Salaried,181020.0,-29921.524279329846,12.0,20.53,1.0,801.0,Poor,1365604.31,2019-12-23,1.0,Education,50000.0,273.0,1365604.31,2019,12,23,0,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,-0.1076327369194065,12.106368325617368,0.1181051673854733,0.11810507117648182,12.106368325617368,0.1181051673854733,0.11810507117648182,0.2762110473370493,22.75,7.543899934261771
CUST00009,APP000009,36.0,Female,South,Masters,Self-employed,74400.0,367182.41,36.0,9.98,1.0,582.5617613324838,Average,527744.15,2023-09-25,0.0,Personal,417182.41,105.0,527744.15,2023,9,25,0,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1960493363567621,11.217224661591072,-1.6372833560875935,-1.6372832187157655,11.217224661591072,-1.6372833560875935,-1.6372832187157655,5.607215091195011,8.75,7.093240010214917
CUST00010,APP000010,40.0,Female,North,High School,Salaried,311410.0,950089.77,12.0,18.44,3.0,375.0,Good,1484155.96,2019-05-11,0.0,Business,1100089.77,296.0,1484155.96,2019,5,11,5,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,3.0,1.2234368597851217,12.648868862099828,1.22971031935805,1.2297099822968607,12.648868862099828,1.22971031935805,1.2297099822968607,3.5325976603267066,24.666666666666668,4.765907305779179
CUST00011,APP000011,28.0,Female,East,Bachelors,Unemployed,550670.0,963064.0,36.0,10.75,5.0,738.0,Average,461891.74,2019-05-03,0.0,Business,1192593.44,92.0,461891.74,2019,5,3,4,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,3.6658918924373607,13.218892813613383,2.4320113983378495,2.4320127558048834,13.218892813613383,2.4320113983378495,2.4320127558048834,2.1657095434479023,7.666666666666667,0.8387798522166593
CUST00012,APP000012,28.0,Female,West,PhD,Self-employed,178330.0,628490.42,60.0,10.71,5.0,588.0,Poor,3343336.22,2020-01-19,1.0,Education,878490.42,668.0,3343336.22,2020,1,19,6,4.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,-0.1350932570140087,12.091396653012287,0.08787026984137077,0.08787019361494275,12.091396653012287,0.08787026984137077,0.08787019361494275,4.92617895935087,55.666666666666664,18.74792503827153
CUST00013,APP000013,41.0,Male,North,High School,Salaried,155270.0,930087.08,36.0,21.86,3.0,839.0,Average,675300.81,2021-06-14,0.0,Education,1080087.08,135.0,675300.81,2021,6,14,0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,-0.3704983103156915,11.952927256348628,-0.19065171089483343,-0.19065159299347967,11.952927256348628,-0.19065171089483343,-0.19065159299347967,6.956141713520233,11.25,4.349175377243658
CUST00014,APP000014,70.0,Male,South,PhD,Self-employed,138540.0,765637.26,60.0,11.24,4.0,552.0,Average,4260711.17,2021-08-10,1.0,Education,965637.26,852.0,4260711.17,2021,8,10,1,4.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.5412843702349089,11.838921589682492,-0.41846527873986067,-0.4184650034974346,11.838921589682492,-0.41846527873986067,-0.4184650034974346,6.970046845338203,71.0,30.754153427505216
CUST00015,APP000015,53.0,Male,East,PhD,Salaried,240600.0,555922.45,60.0,11.48,3.0,425.0,Average,4087783.34,2024-08-31,0.0,Home,705922.45,817.0,4087783.34,2024,8,31,5,4.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,0.5005820538747939,12.390895238790055,0.6971989989156132,0.6971986256503487,12.390895238790055,0.6971989989156132,0.6971986256503487,2.933996325867307,68.08333333333333,16.989885079446886
